Stock,LIMIT_UP_PRICE,LIMIT_UP_TIME,BREAK_LIMIT_UP_TIME,Date,Ticker
002279.SZ,7.14,2020-01-17 09:55:02.820,2020-01-17 15:00:00.000,20200117,128015.SZ
000700.SZ,9.23,2020-01-20 09:40:49.910,2020-01-20 09:40:56.130,20200120,127004.SZ
002074.SZ,20.67,2020-01-20 09:37:11.790,2020-01-20 09:38:13.030,20200120,128086.SZ
300433.SZ,19.42,2020-01-20 09:46:39.420,2020-01-20 09:47:18.130,20200120,123003.SZ
300567.SZ,64.58,2020-01-20 09:57:59.160,2020-01-20 14:04:32.720,20200120,123025.SZ
000700.SZ,10.15,2020-01-21 09:44:23.750,2020-01-21 09:46:43.630,20200121,127004.SZ
002370.SZ,7.0,2020-01-21 10:21:43.990,2020-01-21 15:00:00.000,20200121,128062.SZ
000700.SZ,11.16,2020-01-22 14:51:53.590,2020-01-22 15:00:00.000,20200122,127004.SZ
002074.SZ,23.11,2020-01-22 10:34:57.420,2020-01-22 15:00:00.000,20200122,128086.SZ
002916.SZ,188.64,2020-01-22 14:18:27.510,2020-01-22 14:21:37.610,20200122,128088.SZ
300567.SZ,70.98,2020-01-22 13:18:53.880,2020-01-22 13:19:19.220,20200122,123025.SZ
000700.SZ,12.29,2020-01-23 14:21:40.880,2020-01-23 14:24:01.370,20200123,127004.SZ
002074.SZ,25.42,2020-01-23 10:06:58.610,2020-01-23 10:43:29.150,20200123,128086.SZ
002551.SZ,5.82,2020-02-03 09:25:00.000,2020-02-03 10:13:01.560,20200203,128053.SZ
002907.SZ,19.45,2020-02-03 14:55:33.130,2020-02-03 15:00:00.000,20200203,128069.SZ
300677.SZ,25.97,2020-02-03 10:02:18.060,2020-02-03 10:02:33.630,20200203,123029.SZ
000700.SZ,12.17,2020-02-04 09:31:55.670,2020-02-04 09:32:01.280,20200204,127004.SZ
002279.SZ,6.58,2020-02-04 09:35:05.620,2020-02-04 09:35:30.340,20200204,128015.SZ
002439.SZ,38.98,2020-02-04 13:18:12.090,2020-02-04 13:19:52.850,20200204,128061.SZ
002460.SZ,42.93,2020-02-04 10:20:35.630,2020-02-04 10:21:55.500,20200204,128028.SZ
002497.SZ,9.01,2020-02-04 09:51:21.090,2020-02-04 10:44:16.050,20200204,128065.SZ
002551.SZ,6.4,2020-02-04 09:25:00.000,2020-02-04 10:02:57.460,20200204,128053.SZ
300381.SZ,9.97,2020-02-04 13:45:59.010,2020-02-04 14:31:59.480,20200204,123018.SZ
000623.SZ,17.07,2020-02-05 14:45:08.920,2020-02-05 15:00:00.000,20200205,127006.SZ
000700.SZ,13.39,2020-02-05 09:25:00.000,2020-02-05 11:29:12.990,20200205,127004.SZ
002074.SZ,25.9,2020-02-05 11:24:33.580,2020-02-05 11:26:51.820,20200205,128086.SZ
002352.SZ,42.68,2020-02-05 14:43:16.590,2020-02-05 14:44:15.110,20200205,128080.SZ
002370.SZ,8.48,2020-02-05 14:53:07.430,2020-02-05 15:00:00.000,20200205,128062.SZ
002460.SZ,47.22,2020-02-05 11:27:38.880,2020-02-05 11:29:43.730,20200205,128028.SZ
002497.SZ,9.91,2020-02-05 09:48:11.570,2020-02-05 09:50:33.270,20200205,128065.SZ
002551.SZ,7.04,2020-02-05 09:33:09.930,2020-02-05 10:15:25.890,20200205,128053.SZ
002707.SZ,4.97,2020-02-05 13:05:24.000,2020-02-05 13:20:23.250,20200205,128022.SZ
002717.SZ,5.86,2020-02-05 11:15:26.360,2020-02-05 11:16:02.830,20200205,128044.SZ
002787.SZ,7.47,2020-02-05 10:27:01.000,2020-02-05 11:00:05.290,20200205,128049.SZ
002793.SZ,14.31,2020-02-05 09:25:00.000,2020-02-05 10:10:45.320,20200205,128043.SZ
300381.SZ,10.97,2020-02-05 09:36:17.150,2020-02-05 09:40:06.540,20200205,123018.SZ
300409.SZ,15.0,2020-02-05 09:45:41.600,2020-02-05 10:16:39.200,20200205,123007.SZ
300545.SZ,34.21,2020-02-05 10:35:40.250,2020-02-05 10:35:40.270,20200205,123038.SZ
000700.SZ,14.73,2020-02-06 09:49:35.860,2020-02-06 11:29:04.810,20200206,127004.SZ
002002.SZ,4.39,2020-02-06 13:02:30.210,2020-02-06 13:05:44.090,20200206,128085.SZ
002074.SZ,28.5,2020-02-06 13:00:03.870,2020-02-06 13:05:50.200,20200206,128086.SZ
002174.SZ,29.48,2020-02-06 10:56:35.570,2020-02-06 10:57:36.550,20200206,128074.SZ
002325.SZ,3.41,2020-02-06 10:30:37.680,2020-02-06 13:21:28.740,20200206,128013.SZ
002370.SZ,9.33,2020-02-06 14:03:14.530,2020-02-06 14:09:47.780,20200206,128062.SZ
002551.SZ,7.74,2020-02-06 09:25:00.000,2020-02-06 10:31:26.260,20200206,128053.SZ
002793.SZ,15.74,2020-02-06 09:25:00.000,2020-02-06 10:31:49.780,20200206,128043.SZ
300168.SZ,16.48,2020-02-06 09:32:16.650,2020-02-06 09:32:28.150,20200206,123021.SZ
300381.SZ,12.07,2020-02-06 10:17:52.840,2020-02-06 10:19:26.740,20200206,123018.SZ
300422.SZ,11.88,2020-02-06 13:00:00.030,2020-02-06 14:45:24.270,20200206,123010.SZ
300437.SZ,9.93,2020-02-06 13:00:22.710,2020-02-06 14:25:14.430,20200206,123028.SZ
300497.SZ,22.02,2020-02-06 13:01:04.050,2020-02-06 13:08:02.230,20200206,123020.SZ
000665.SZ,5.41,2020-02-07 10:02:30.420,2020-02-07 13:59:55.740,20200207,127007.SZ
000700.SZ,16.2,2020-02-07 09:35:25.180,2020-02-07 09:36:20.620,20200207,127004.SZ
002376.SZ,11.95,2020-02-07 11:29:56.610,2020-02-07 11:29:57.470,20200207,128083.SZ
002551.SZ,8.51,2020-02-07 09:25:00.000,2020-02-07 10:34:47.340,20200207,128053.SZ
002793.SZ,17.31,2020-02-07 09:32:06.640,2020-02-07 10:19:10.890,20200207,128043.SZ
300381.SZ,13.28,2020-02-07 09:36:00.980,2020-02-07 09:37:27.910,20200207,123018.SZ
300437.SZ,10.92,2020-02-07 09:39:47.400,2020-02-07 10:58:31.280,20200207,123028.SZ
300692.SZ,13.07,2020-02-07 14:40:38.870,2020-02-07 14:41:59.390,20200207,123026.SZ
000665.SZ,5.95,2020-02-10 09:25:00.000,2020-02-10 09:30:00.010,20200210,127007.SZ
000700.SZ,15.66,2020-02-10 14:35:16.450,2020-02-10 15:00:00.000,20200210,127004.SZ
002131.SZ,3.22,2020-02-10 13:49:46.860,2020-02-10 13:56:38.660,20200210,128038.SZ
002376.SZ,13.14,2020-02-10 09:35:35.740,2020-02-10 11:19:05.630,20200210,128083.SZ
002391.SZ,8.68,2020-02-10 13:41:16.130,2020-02-10 13:47:00.600,20200210,128055.SZ
002460.SZ,51.63,2020-02-10 09:59:25.500,2020-02-10 10:16:59.450,20200210,128028.SZ
002496.SZ,2.37,2020-02-10 10:26:17.860,2020-02-10 11:02:26.300,20200210,128012.SZ
002497.SZ,10.81,2020-02-10 14:35:26.850,2020-02-10 15:00:00.000,20200210,128065.SZ
002510.SZ,6.96,2020-02-10 13:57:30.210,2020-02-10 15:00:00.000,20200210,128090.SZ
